M0,M1,M2,M3,M4,M5,M6,zzM0,zzM1,zzM2,zzM3,zzM4,zzM5,zzM6,driftM0,driftM1,driftM2,driftM3,driftM4,driftM5,driftM6,MassDif_M1,MassDif_M2,MassDif_M3,MassDif_M4,MassDif_M5,MassDif_M6,CumulativeDiff_0,CumulativeDiff_1,CumulativeDiff_2,CumulativeDiff_3,CumulativeDiff_4,CumulativeDiff_5,CumulativeDiff_6,xdrift,mz,rt,cand,class,plant,FN,class_YB,ori_index
10.777608,5.363241,1.208916,0.0,0.0,0.0,0.0,0.02366686129291827,0.16541383524881584,0.1969443663342235,4.0,4.0,4.0,4.0,13,10,8,100,100,100,100,1.003,1.004,,,,,0.013,1.016,2.02,,,,,7.246063299015144,592.1782898835031,1332.7108154296875,rej7,AL,Alf,N,U,37
9.6481343,3.5651994,0.6647225999999999,0.0,0.0,0.0,0.0,0.037514880247993695,0.13385114082516442,0.15288878489582738,4.0,4.0,4.0,4.0,12,8,-3,100,100,100,100,1.002,0.995,,,,,0.012,1.014,2.009,,,,,31.96678119548475,592.1782898835031,1332.7108154296875,rej7,AL,Alf,N,U,38
3376.1240000000007,2870.797,1938.388,0.0,0.0,0.0,0.0,0.006612096231586571,0.0068458885220846685,0.010891504814567635,4.0,4.0,4.0,4.0,1,0,-1,100,100,100,100,1.005,1.005,,,,,0.001,1.006,2.011,,,,,0.0,592.1782898835031,1332.7108154296875,rej7,BL,Broc,Y,L,39
2829.138,2489.173,1524.6729999999998,0.0,0.0,0.0,0.0,0.01125532759728832,0.011120137253644543,0.0105662165171731,4.0,4.0,4.0,4.0,-1,-2,-4,100,100,100,100,1.005,1.004,,,,,-0.001,1.004,2.008,,,,,0.0,592.1782898835031,1332.7108154296875,rej7,BL,Broc,Y,L,40
3499.968,3144.507,1830.157,0.0,0.0,0.0,0.0,0.012140647761410994,0.012076957918305244,0.012657225095370052,4.0,4.0,4.0,4.0,1,0,-1,100,100,100,100,1.005,1.005,,,,,0.001,1.006,2.011,,,,,0.0,592.1782898835031,1332.7108154296875,rej7,BL,Broc,Y,L,41
3.8707752,2.202399,,,0.3289052,,0.0,16.0,16.0,16.0,16.0,16.0,16.0,4.0,5,-3,14,-21,2,-20,100,0.998,1.0229999999999997,0.971,1.029,0.9840000000000008,,0.005,1.003,2.026,2.997,4.026,5.010000000000002,,14.320699238049276,959.2857996342681,1340.57,rej8,AL,Alf,N,U,42
,,1.082055,0.3331171,2.0830437,0.3334603,0.0,16.0,16.0,16.0,16.0,16.0,16.0,4.0,-10,8,-11,19,-3,-12,100,1.024,0.987,1.036,0.984,0.9970000000000008,,-0.01,1.014,2.001,3.037,4.021,5.018000000000002,,15.390707261201513,959.2857996342681,1340.57,rej8,AL,Alf,N,U,43
,1.0508451,1.5595784,,1.2454419,0.4716806,0.0,16.0,16.0,16.0,16.0,16.0,16.0,4.0,100,-2,13,-4,-6,23,100,0.904,1.021,0.9890000000000001,1.004,1.035,,0.1,1.004,2.025,3.014,4.018,5.053,,23.62278109509269,959.2857996342681,1340.57,rej8,AL,Alf,N,U,44
8113.999,5294.4180000000015,3679.326,2680.781,2135.1220000000008,1311.98,0.0,0.01191078822027272,0.01084676516153421,0.013777495337754636,0.011940805877525013,0.012742280285324105,0.01578810588963131,4.0,2,-1,-2,-2,-3,-3,100,1.003,1.005,1.0059999999999998,1.005,1.0060000000000002,,0.002,1.005,2.01,3.016,4.021,5.027,,0.0,959.2857996342681,1340.57,rej8,BL,Broc,Y,L,45
7146.44,4702.564,3198.167,2497.613,1704.639,1171.045,0.0,0.023127076860371416,0.02220294115805961,0.020146571256853117,0.023357214960750654,0.023410328679567244,0.024925349898079898,4.0,-2,-4,-6,-5,-5,-6,100,1.004,1.0040000000000002,1.0069999999999997,1.0060000000000002,1.005,,-0.002,1.002,2.006,3.013,4.019,5.024,,1.2032068262218507,959.2857996342681,1340.57,rej8,BL,Broc,Y,L,46
